timestamp,temp,hum,rain,prev_sm,target_sm
86400000,20,76,0,26.22,25.35
172800000,18.5,84,0,25.35,24.5
259200000,19,79,0,24.5,23.67
345600000,19.7,74,0,23.67,22.88
432000000,20,74,0,22.88,22.14
518400000,20.5,72,0,22.14,21.42
604800000,20.8,61,6.3,21.42,20.77
691200000,20.4,68,10.4,20.77,26.62
777600000,20.1,69,2.3,26.62,26.52
864000000,19.5,73,0,26.52,24.91
950400000,20.2,68,0,24.91,22.75
1036800000,20.5,69,0,22.75,20.57
1123200000,20.5,71,3.3,20.57,21.42
1209600000,20.4,74,3.2,21.42,22.77
1296000000,20.3,75,10.3,22.77,26.88
1382400000,20,74,12.8,26.88,38.76
1468800000,19.2,84,15.4,38.76,41.59
1555200000,18.7,84,5.8,41.59,51.6
1641600000,19.3,82,0,51.6,51.2
1728000000,20,70,0,51.2,48.44
1814400000,20.6,62,0,48.44,45.57
1900800000,20.7,60,0,45.57,42.42
1987200000,21.3,59,0,42.42,39.29
2073600000,21.6,56,0,39.29,36.53
2160000000,22.1,52,3.5,36.53,35.19
2246400000,20.6,67,5.3,35.19,38.81
2332800000,20,76,0,38.81,39.44
2419200000,19.5,69,0,39.44,36.33
2505600000,20,66,0,36.33,33.26
2592000000,20.9,62,0,33.26,30.56
2678400000,20.6,56,0,30.56,28.51
2764800000,20.1,56,0,28.51,26.53
2851200000,20.8,49,0,26.53,24.23
2937600000,21.2,48,0,24.23,21.94
3024000000,21.6,46,0,21.94,20.56
3110400000,22.3,49,0,20.56,19.89
3196800000,21.6,63,9.9,19.89,21.47
3283200000,19.9,81,3,21.47,28.95
3369600000,19.8,82,1.4,28.95,29.17
3456000000,18.9,86,0,29.17,27.6
3542400000,21,69,0,27.6,26.16
3628800000,20.6,66,0,26.16,24.3
3715200000,20.4,58,0,24.3,22.48
3801600000,20,60,0,22.48,20.88
3888000000,20.1,59,0,20.88,18.94
3974400000,20.9,54,0,18.94,16.71
4060800000,21.3,61,0,16.71,15.45
4147200000,20.6,66,0,15.45,14.94
4233600000,20.1,63,0,14.94,14.46
4320000000,20.2,58,0,14.46,13.98
4406400000,20.7,50,0,13.98,13.49
4492800000,20.7,56,0,13.49,13.02
4579200000,20.7,62,0,13.02,12.55
4665600000,21.4,58,0,12.55,12.12
4752000000,21.1,67,0,12.12,11.7
4838400000,20.5,75,0,11.7,11.3
4924800000,20.3,73,0,11.3,10.9
5011200000,20.6,67,0,10.9,10.51
5097600000,19.8,73,0,10.51,10.15
5184000000,21.5,69,0,10.15,9.8
5270400000,21.2,70,0,9.8,9.48
5356800000,20.6,70,0,9.48,9.18
5443200000,21.1,60,0,9.18,8.87
5529600000,21.5,62,0,8.87,8.58
5616000000,21.3,70,16.4,8.58,8.3
5702400000,21.5,71,12.4,8.3,14.14
5788800000,20.2,79,24,14.14,18.99
5875200000,20.2,79,0,18.99,26.19
5961600000,21.1,70,0,26.19,22.91
6048000000,20.2,71,0,22.91,19.8
6134400000,20.4,61,0,19.8,16.82
6220800000,20.7,62,0,16.82,14.06
6307200000,21.3,60,0,14.06,11.93
6393600000,21.5,58,0,11.93,11.09
6480000000,22.7,56,0,11.09,10.65
6566400000,22.5,61,8.3,10.65,10.93
6652800000,22.2,64,0,10.93,12.95
6739200000,23,56,0,12.95,10.65
6825600000,23.1,54,0,10.65,9.22
6912000000,22.9,53,0,9.22,8.79
6998400000,23.1,54,0,8.79,8.48
7084800000,22.6,55,0,8.48,8.16
7171200000,21.9,59,0,8.16,7.86
7257600000,21.8,58,0,7.86,7.58
7344000000,22.3,55,0,7.58,7.3
7430400000,23.4,52,0,7.3,7.04
7516800000,23.4,54,0,7.04,6.8
7603200000,23.2,58,0,6.8,6.55
7689600000,23,58,0,6.55,6.33
7776000000,21.1,71,17.7,6.33,7.55
7862400000,20.5,76,15,7.55,17.39
7948800000,19.3,84,10.9,17.39,28.23
8035200000,18.5,87,14.3,28.23,32.38
8121600000,19.2,86,0,32.38,35.19
8208000000,19.3,88,0,35.19,31.53
8294400000,20,68,0,31.53,28.1
8380800000,20.6,66,0,28.1,24.91
8467200000,20,82,7.3,24.91,24.42
8553600000,19.6,80,0,24.42,27.07
8640000000,19.2,85,0,27.07,24.41
8726400000,19.5,79,0,24.41,21.81
8812800000,19.9,76,0,21.81,19.44
8899200000,20,77,0,19.44,17.24
8985600000,20.1,81,0,17.24,15.2
9072000000,19.6,79,0,15.2,13.52
9158400000,19.3,84,0,13.52,12.69
9244800000,20,76,5,12.69,14.03
9331200000,20,80,8,14.03,19.41
9417600000,19.8,81,6,19.41,20.36
9504000000,19.3,86,0,20.36,25.38
9590400000,19.9,81,0,25.38,26.9
9676800000,19.6,81,14.5,26.9,26.56
9763200000,18.9,88,13.1,26.56,38.97
9849600000,18.7,90,8,38.97,41.09
9936000000,19.8,77,0,41.09,37.85
10022400000,19.9,78,7.4,37.85,35.51
10108800000,18.8,88,18,35.51,41.16
10195200000,18.2,89,12.7,41.16,51.04
10281600000,18.3,89,2.9,51.04,54.15
10368000000,18.5,84,11.1,54.15,56.67
10454400000,19.2,74,0,56.67,57.94
10540800000,19.2,69,0,57.94,53.85
10627200000,19.4,69,0,53.85,49.56
10713600000,18.8,84,0,49.56,46.02
10800000000,18.6,83,0,46.02,43.32
10886400000,19,77,13,43.32,48.06
10972800000,18.7,74,0,48.06,48.23
11059200000,18.5,70,0,48.23,45.1
11145600000,17,88,0,45.1,42.27
11232000000,17.8,82,0,42.27,39.84
11318400000,18.9,74,0,39.84,37.36
11404800000,18.6,72,0,37.36,35.05
11491200000,18.3,71,0,35.05,32.78
11577600000,18.4,67,0,32.78,30.51
11664000000,18.8,68,0,30.51,28.42
11750400000,19.8,68,9.2,28.42,33.06
11836800000,19.2,80,16.1,33.06,37.5
11923200000,18.4,83,0,37.5,42.78
12009600000,18.9,74,0,42.78,40.32
12096000000,18.7,71,0,40.32,38.15
12182400000,17.3,75,0,38.15,35.93
12268800000,17.8,75,0,35.93,33.75
12355200000,17.9,73,0,33.75,31.45
12441600000,17.9,70,0,31.45,29.31
12528000000,18.4,67,0,29.31,27.37
12614400000,17.8,72,0,27.37,25.78
12700800000,18.2,69,0,25.78,24.23
